Gra,Film,Literatura,Zajecie,Moda,Wakacje,Rod_prz_sam,gry_czas,Plec
strategiczne,dramat,powiesc,sluchanie muzyki,Casual,Podrozowanie,Przyjaciele,Raz w tygodniu,mezczyzna
strategiczne,fantasy,opowiadanie,Gry komputerowe,nie dbam o mode,Praca,Przyjaciele,Kilka razy w tygodniu,mezczyzna
strzelanki,komedia,powiesc,Sport,Casual,Podrozowanie,Rodzina,Raz w tygodniu,mezczyzna
strategiczne,dramat,powiesc,Gry komputerowe,Casual,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,mezczyzna
przygodowe,fantasy,powiesc,Gry komputerowe,Casual,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,mezczyzna
strzelanki,komedia,powiesc,Gry komputerowe,nie dbam o mode,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,mezczyzna
strategiczne,fantasy,opowiadanie,Czytanie,nie dbam o mode,Praca,samotnie,Kilka razy w tygodniu,mezczyzna
przygodowe,horror,bajka,Czytanie,nie dbam o mode,Podrozowanie,Rodzina,Rzadko,kobieta
logiczne,fantasy,opowiadanie,Sport,Sportowy,Odpoczynek w domu,Przyjaciele,Rzadko,kobieta
karciane,kryminal,powiesc,Sport,Casual,Podrozowanie,Przyjaciele,Rzadko,kobieta
strategiczne,dramat,opowiadanie,sluchanie muzyki,Elegancki,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,mezczyzna
logiczne,komedia,powiesc,sluchanie muzyki,Elegancki,Podrozowanie,Rodzina,Rzadko,kobieta
strzelanki,dramat,powiesc,sluchanie muzyki,Casual,Podrozowanie,Przyjaciele,Rzadko,kobieta
logiczne,dramat,powiesc,Czytanie,Casual,Podrozowanie,Rodzina,Rzadko,kobieta
logiczne,komedia,opowiadanie,Sport,Casual,Podrozowanie,Przyjaciele,Rzadko,kobieta
logiczne,horror,powiesc,sluchanie muzyki,Elegancki,Podrozowanie,samotnie,Raz w tygodniu,kobieta
przygodowe,fantasy,powiesc,Czytanie,Elegancki,Podrozowanie,Rodzina,Kilka razy w tygodniu,kobieta
strzelanki,fantasy,powiesc,sluchanie muzyki,Elegancki,Podrozowanie,Przyjaciele,Codziennie,mezczyzna
logiczne,kryminal,powiesc,Gry komputerowe,Elegancki,Podrozowanie,Rodzina,Kilka razy w tygodniu,kobieta
strategiczne,familijne,esej,sluchanie muzyki,Elegancki,Odpoczynek w domu,Przyjaciele,Rzadko,mezczyzna
strategiczne,fantasy,powiesc,Gry komputerowe,nie dbam o mode,Odpoczynek w domu,samotnie,Codziennie,mezczyzna
strategiczne,fantasy,powiesc,sluchanie muzyki,nie dbam o mode,Praca,Przyjaciele,Codziennie,mezczyzna
strategiczne,fantasy,powiesc,sluchanie muzyki,nie dbam o mode,Praca,Przyjaciele,Codziennie,mezczyzna
strzelanki,fantasy,opowiadanie,sluchanie muzyki,Elegancki,Podrozowanie,Rodzina,Kilka razy w tygodniu,kobieta
przygodowe,kryminal,powiesc,Czytanie,nie dbam o mode,Podrozowanie,Przyjaciele,Rzadko,kobieta
karciane,horror,opowiadanie,Czytanie,Casual,Podrozowanie,Przyjaciele,Rzadko,kobieta
strategiczne,kryminal,powiesc,sluchanie muzyki,Casual,Podrozowanie,Przyjaciele,Rzadko,kobieta
przygodowe,komedia,esej,Sport,Casual,Podrozowanie,Przyjaciele,Codziennie,mezczyzna
strzelanki,kryminal,opowiadanie,Sport,Sportowy,Podrozowanie,Przyjaciele,Rzadko,mezczyzna
